% mesh analysis file %
% Iteration	cell size	# map cells	# occup cells	time spent [sec] %

1/79		0.2		9261		334		0.004
2/79		0.1975		9261		334		0.004
3/79		0.195		9261		335		0.004
4/79		0.1925		9261		337		0.004
5/79		0.19		9261		337		0.003
6/79		0.1875		9261		365		0.005
7/79		0.185		9261		365		0.004
8/79		0.1825		9261		391		0.005
9/79		0.18		12167		391		0.004
10/79		0.1775		12167		394		0.005
11/79		0.175		12167		394		0.004
12/79		0.1725		12167		394		0.004
13/79		0.17		12167		394		0.006
14/79		0.1675		12167		394		0.004
15/79		0.165		15625		394		0.004
16/79		0.1625		15625		412		0.005
17/79		0.16		15625		505		0.006
18/79		0.1575		15625		514		0.006
19/79		0.155		15625		514		0.006
20/79		0.1525		19683		511		0.006
21/79		0.15		19683		533		0.006
22/79		0.1475		19683		676		0.008
23/79		0.145		19683		677		0.007
24/79		0.1425		24389		689		0.008
25/79		0.14		24389		721		0.007
26/79		0.1375		24389		721		0.008
27/79		0.135		24389		722		0.008
28/79		0.1325		29791		728		0.008
29/79		0.13		29791		786		0.009
30/79		0.1275		29791		797		0.008
31/79		0.125		35937		863		0.01
32/79		0.1225		35937		862		0.009
33/79		0.12		35937		866		0.009
34/79		0.1175		42875		886		0.01
35/79		0.115		42875		957		0.01
36/79		0.1125		42875		1156		0.012
37/79		0.11		50653		1158		0.012
38/79		0.1075		50653		1158		0.013
39/79		0.105		59319		1178		0.013
40/79		0.1025		59319		1238		0.013
41/79		0.1		68921		1365		0.016
42/79		0.0975		68921		1413		0.016
43/79		0.095		79507		1409		0.016
44/79		0.0925		79507		1497		0.017
45/79		0.09		91125		1558		0.018
46/79		0.0875		91125		1916		0.021
47/79		0.085		103823		1968		0.022
48/79		0.0825		117649		1996		0.023
49/79		0.08		117649		2092		0.022
50/79		0.0775		132651		2437		0.028
51/79		0.075		148877		2556		0.029
52/79		0.0725		166375		3026		0.035
53/79		0.07		185193		3209		0.04
54/79		0.0675		205379		3315		0.04
55/79		0.065		226981		3466		0.042
56/79		0.0625		274625		4407		0.054
57/79		0.06		300763		4665		0.058
58/79		0.0575		328509		4842		0.059
59/79		0.055		389017		5634		0.071
60/79		0.0525		456533		6718		0.086
61/79		0.05		493039		7111		0.088
62/79		0.0475		614125		8394		0.109
63/79		0.045		704969		9078		0.12
64/79		0.0425		857375		10686		0.141
65/79		0.04		970299		12544		0.16
66/79		0.0375		1225043		16301		0.213
67/79		0.035		1520875		17780		0.239
68/79		0.0325		1860867		21562		0.288
69/79		0.03		2352637		28250		0.364
70/79		0.0275		3048625		34930		0.464
71/79		0.025		4173281		47270		0.647
72/79		0.0225		5545233		60888		0.803
73/79		0.02		7880599		81944		1.123
74/79		0.0175		12008989	126010		1.729
75/79		0.015		19034163	186794		2.629
76/79		0.0125		32461759	313207		4.439
77/79		0.01		63521199	596278		8.54
78/79		0.0075		151419437	1409351		20.467
79/79		0.005		510082399	4584183		66.844
