% mesh analysis file %
% Iteration	cell size	# map cells	# occup cells	time spent [sec] %
		
1/79		0.2		9261		693		0.008
2/79		0.1975		9261		693		0.008
3/79		0.195		9261		694		0.008
4/79		0.1925		9261		690		0.007
5/79		0.19		9261		688		0.008
6/79		0.1875		9261		717		0.008
7/79		0.185		9261		717		0.007
8/79		0.1825		9261		742		0.008
9/79		0.18		12167		742		0.008
10/79		0.1775		12167		746		0.008
11/79		0.175		12167		790		0.008
12/79		0.1725		12167		790		0.008
13/79		0.17		12167		813		0.009
14/79		0.1675		12167		841		0.008
15/79		0.165		15625		901		0.009
16/79		0.1625		15625		919		0.01
17/79		0.16		15625		1075		0.011
18/79		0.1575		15625		1084		0.012
19/79		0.155		15625		1127		0.011
20/79		0.1525		19683		1088		0.012
21/79		0.15		19683		1149		0.012
22/79		0.1475		19683		1316		0.013
23/79		0.145		19683		1351		0.014
24/79		0.1425		24389		1363		0.014
25/79		0.14		24389		1607		0.019
26/79		0.1375		24389		1657		0.018
27/79		0.135		24389		1658		0.019
28/79		0.1325		29791		1664		0.018
29/79		0.13		29791		1732		0.019
30/79		0.1275		29791		1791		0.02
31/79		0.125		35937		2135		0.024
32/79		0.1225		35937		2207		0.023
33/79		0.12		35937		2282		0.025
34/79		0.1175		42875		2303		0.024
35/79		0.115		42875		2374		0.025
36/79		0.1125		42875		2588		0.027
37/79		0.11		50653		2622		0.027
38/79		0.1075		50653		2622		0.027
39/79		0.105		59319		2643		0.027
40/79		0.1025		59319		2836		0.029
41/79		0.1		68921		3229		0.034
42/79		0.0975		68921		3403		0.034
43/79		0.095		79507		3397		0.034
44/79		0.0925		79507		4020		0.043
45/79		0.09		91125		4081		0.043
46/79		0.0875		91125		4515		0.047
47/79		0.085		103823		4785		0.05
48/79		0.0825		117649		5391		0.056
49/79		0.08		117649		5551		0.056
50/79		0.0775		132651		6320		0.068
51/79		0.075		148877		6463		0.071
52/79		0.0725		166375		7398		0.078
53/79		0.07		185193		8720		0.096
54/79		0.0675		205379		9069		0.099
55/79		0.065		226981		9573		0.101
56/79		0.0625		274625		11473		0.124
57/79		0.06		300763		12120		0.129
58/79		0.0575		328509		12610		0.132
59/79		0.055		389017		16257		0.167
60/79		0.0525		456533		17773		0.191
61/79		0.05		493039		19140		0.203
62/79		0.0475		614125		22187		0.235
63/79		0.045		704969		26625		0.289
64/79		0.0425		857375		29396		0.318
65/79		0.04		970299		37162		0.396
66/79		0.0375		1225043		44794		0.486
67/79		0.035		1520875		54191		0.599
68/79		0.0325		1860867		62034		0.679
69/79		0.03		2352637		82736		0.902
70/79		0.0275		3048625		105858		1.174
71/79		0.025		4173281		140120		1.547
72/79		0.0225		5545233		185705		2.074
73/79		0.02		7880599		246302		2.754
74/79		0.0175		12008989	375964		4.288
75/79		0.015		19034163	578591		6.606
76/79		0.0125		32461759	983976		11.506
77/79		0.01		63521199	1870836		22.207
78/79		0.0075		151419437	4492942		52.844
79/79		0.005		510082399	14618165	174.394	
