% set_pose_both_nothing_a_lab_time_res_pose  both_arms  basic_scene %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
b	BKPIECEConfigDefault	0	0	0.14	1.534	0
b	BKPIECEConfigDefault	0	1	0.036	2.283	1
b	BKPIECEConfigDefault	0	2	0.123	1.978	0
b	BKPIECEConfigDefault	0	3	0.082	10.543	1
b	BKPIECEConfigDefault	0	4	0.117	5.073	1
b	BKPIECEConfigDefault	1	0	0.085	2.464	1
b	BKPIECEConfigDefault	1	1	0.067	1.611	1
b	BKPIECEConfigDefault	1	2	0.221	2.043	1
b	BKPIECEConfigDefault	1	3	0.136	5.495	0
b	BKPIECEConfigDefault	1	4	0.102	5.539	1
b	BKPIECEConfigDefault	2	0	0.104	2.229	1
b	BKPIECEConfigDefault	2	1	0.155	1.61	1
b	BKPIECEConfigDefault	2	2	0.174	2.001	1
b	BKPIECEConfigDefault	2	3	0.106	5.52	1
b	BKPIECEConfigDefault	2	4	0.201	6.693	1
b	BKPIECEConfigDefault	3	0	0.153	2.227	1
b	BKPIECEConfigDefault	3	1	0.12	1.597	1
b	BKPIECEConfigDefault	3	2	0.109	1.995	0
b	BKPIECEConfigDefault	3	3	-1	-1	0
b	BKPIECEConfigDefault	3	4	0.148	6.051	1
b	BKPIECEConfigDefault	4	0	0.092	2.228	1
b	BKPIECEConfigDefault	4	1	0.099	1.603	1
b	BKPIECEConfigDefault	4	2	0.133	1.991	1
b	BKPIECEConfigDefault	4	3	-1	-1	0
b	BKPIECEConfigDefault	4	4	0.171	3.023	1
b	ESTConfigDefault	0	0	0.079	2.231	1
b	ESTConfigDefault	0	1	0.076	1.612	1
b	ESTConfigDefault	0	2	0.055	1.999	1
b	ESTConfigDefault	0	3	0.167	7.426	1
b	ESTConfigDefault	0	4	0.197	5.364	1
b	ESTConfigDefault	1	0	0.121	2.225	1
b	ESTConfigDefault	1	1	0.162	6.338	1
b	ESTConfigDefault	1	2	0.133	1.866	1
b	ESTConfigDefault	1	3	0.222	4.698	1
b	ESTConfigDefault	1	4	0.135	14.609	1
b	ESTConfigDefault	2	0	0.07	2.218	1
b	ESTConfigDefault	2	1	0.155	1.607	1
b	ESTConfigDefault	2	2	0.085	2.076	1
b	ESTConfigDefault	2	3	-1	-1	0
b	ESTConfigDefault	2	4	0.234	7.659	1
b	ESTConfigDefault	3	0	0.097	2.218	1
b	ESTConfigDefault	3	1	0.132	1.608	1
b	ESTConfigDefault	3	2	0.18	1.992	1
b	ESTConfigDefault	3	3	0.157	9.196	0
b	ESTConfigDefault	3	4	0.083	0.007	0
b	ESTConfigDefault	4	0	0.119	2.233	1
b	ESTConfigDefault	4	1	0.14	1.608	1
b	ESTConfigDefault	4	2	0.135	1.996	1
b	ESTConfigDefault	4	3	-1	-1	0
b	ESTConfigDefault	4	4	0.092	6.515	0
b	KPIECEConfigDefault	0	0	0.102	3.235	0
b	KPIECEConfigDefault	0	1	0.151	1.625	1
b	KPIECEConfigDefault	0	2	0.143	1.877	1
b	KPIECEConfigDefault	0	3	-1	-1	0
b	KPIECEConfigDefault	0	4	0.271	0.847	0
b	KPIECEConfigDefault	1	0	0.075	2.299	1
b	KPIECEConfigDefault	1	1	0.067	1.611	1
b	KPIECEConfigDefault	1	2	0.092	1.994	1
b	KPIECEConfigDefault	1	3	0.092	7.542	1
b	KPIECEConfigDefault	1	4	0.109	7.713	1
b	KPIECEConfigDefault	2	0	0.048	2.229	1
b	KPIECEConfigDefault	2	1	0.08	1.609	1
b	KPIECEConfigDefault	2	2	0.182	1.997	1
b	KPIECEConfigDefault	2	3	0.081	10.388	1
b	KPIECEConfigDefault	2	4	-1	-1	0
b	KPIECEConfigDefault	3	0	0.074	2.302	1
b	KPIECEConfigDefault	3	1	0.102	1.609	1
b	KPIECEConfigDefault	3	2	0.132	8.242	1
b	KPIECEConfigDefault	3	3	0.066	9.209	1
b	KPIECEConfigDefault	3	4	0.259	4.355	1
b	KPIECEConfigDefault	4	0	0.068	2.231	1
b	KPIECEConfigDefault	4	1	0.107	1.609	1
b	KPIECEConfigDefault	4	2	0.137	1.987	1
b	KPIECEConfigDefault	4	3	0.122	5.371	1
b	KPIECEConfigDefault	4	4	0.138	5.859	1
b	LBKPIECEConfigDefault	0	0	0.052	2.249	1
b	LBKPIECEConfigDefault	0	1	0.066	1.603	1
b	LBKPIECEConfigDefault	0	2	0.141	2.003	1
b	LBKPIECEConfigDefault	0	3	0.166	4.332	1
b	LBKPIECEConfigDefault	0	4	0.103	2.599	1
b	LBKPIECEConfigDefault	1	0	0.145	2.232	1
b	LBKPIECEConfigDefault	1	1	0.141	1.602	1
b	LBKPIECEConfigDefault	1	2	0.133	2	1
b	LBKPIECEConfigDefault	1	3	0.203	7.209	1
b	LBKPIECEConfigDefault	1	4	0.26	5.223	1
b	LBKPIECEConfigDefault	2	0	0.113	6.657	0
b	LBKPIECEConfigDefault	2	1	0.074	1.596	1
b	LBKPIECEConfigDefault	2	2	0.066	1.974	1
b	LBKPIECEConfigDefault	2	3	0.151	31.196	0
b	LBKPIECEConfigDefault	2	4	0.162	8.674	0
b	LBKPIECEConfigDefault	3	0	0.142	2.949	1
b	LBKPIECEConfigDefault	3	1	0.13	7.363	0
b	LBKPIECEConfigDefault	3	2	0.136	3.14	1
b	LBKPIECEConfigDefault	3	3	0.091	7.026	1
b	LBKPIECEConfigDefault	3	4	0.209	8.437	1
b	LBKPIECEConfigDefault	4	0	0.061	2.222	1
b	LBKPIECEConfigDefault	4	1	0.078	1.598	1
b	LBKPIECEConfigDefault	4	2	0.073	1.987	1
b	LBKPIECEConfigDefault	4	3	0.161	8.75	0
b	LBKPIECEConfigDefault	4	4	0.133	6.652	1
b	RRTConnectConfigDefault	0	0	0.143	2.224	1
b	RRTConnectConfigDefault	0	1	0.141	1.608	1
b	RRTConnectConfigDefault	0	2	0.103	1.993	1
b	RRTConnectConfigDefault	0	3	0.186	8.425	1
b	RRTConnectConfigDefault	0	4	0.133	4.733	1
b	RRTConnectConfigDefault	1	0	0.138	2.228	1
b	RRTConnectConfigDefault	1	1	0.1	1.608	1
b	RRTConnectConfigDefault	1	2	0.065	1.998	1
b	RRTConnectConfigDefault	1	3	0.155	4.641	1
b	RRTConnectConfigDefault	1	4	0.159	6.611	1
b	RRTConnectConfigDefault	2	0	0.108	2.229	1
b	RRTConnectConfigDefault	2	1	0.136	1.609	1
b	RRTConnectConfigDefault	2	2	0.129	2.001	1
b	RRTConnectConfigDefault	2	3	-1	-1	0
b	RRTConnectConfigDefault	2	4	0.07	5.056	0
b	RRTConnectConfigDefault	3	0	0.127	2.235	1
b	RRTConnectConfigDefault	3	1	0.063	1.599	1
b	RRTConnectConfigDefault	3	2	0.186	1.986	1
b	RRTConnectConfigDefault	3	3	0.124	5.559	1
b	RRTConnectConfigDefault	3	4	0.146	7.479	1
b	RRTConnectConfigDefault	4	0	0.078	2.226	1
b	RRTConnectConfigDefault	4	1	0.107	1.596	1
b	RRTConnectConfigDefault	4	2	0.076	1.996	1
b	RRTConnectConfigDefault	4	3	-1	-1	0
b	RRTConnectConfigDefault	4	4	0.076	3.051	1
b	RRTStarConfigDefault	0	0	0.056	2.219	1
b	RRTStarConfigDefault	0	1	0.105	1.598	1
b	RRTStarConfigDefault	0	2	0.158	1.991	1
b	RRTStarConfigDefault	0	3	0.134	5.202	1
b	RRTStarConfigDefault	0	4	0.177	6.029	1
b	RRTStarConfigDefault	1	0	0.067	2.23	1
b	RRTStarConfigDefault	1	1	0.086	1.611	1
b	RRTStarConfigDefault	1	2	0.06	2.002	1
b	RRTStarConfigDefault	1	3	0.139	8.347	1
b	RRTStarConfigDefault	1	4	0.164	3.015	0
b	RRTStarConfigDefault	2	0	0.171	2.31	1
b	RRTStarConfigDefault	2	1	0.107	1.605	1
b	RRTStarConfigDefault	2	2	0.092	1.999	1
b	RRTStarConfigDefault	2	3	-1	-1	0
b	RRTStarConfigDefault	2	4	0.209	5.057	0
b	RRTStarConfigDefault	3	0	0.043	2.235	1
b	RRTStarConfigDefault	3	1	0.164	1.617	1
b	RRTStarConfigDefault	3	2	0.115	2.002	1
b	RRTStarConfigDefault	3	3	0.138	6.452	1
b	RRTStarConfigDefault	3	4	0.161	2.72	1
b	RRTStarConfigDefault	4	0	0.11	6.365	0
b	RRTStarConfigDefault	4	1	0.105	2.796	1
b	RRTStarConfigDefault	4	2	0.076	2.037	1
b	RRTStarConfigDefault	4	3	-1	-1	0
b	RRTStarConfigDefault	4	4	0.226	5.055	1
b	RRTConfigDefault	0	0	0.055	2.22	1
b	RRTConfigDefault	0	1	0.125	1.611	1
b	RRTConfigDefault	0	2	0.127	2	1
b	RRTConfigDefault	0	3	-1	-1	0
b	RRTConfigDefault	0	4	0.104	4.671	1
b	RRTConfigDefault	1	0	0.197	5.603	1
b	RRTConfigDefault	1	1	0.154	1.037	0
b	RRTConfigDefault	1	2	0.237	38.619	1
b	RRTConfigDefault	1	3	-1	-1	0
b	RRTConfigDefault	1	4	0.084	2.652	1
b	RRTConfigDefault	2	0	0.11	2.231	1
b	RRTConfigDefault	2	1	0.105	1.611	1
b	RRTConfigDefault	2	2	0.099	4.567	1
b	RRTConfigDefault	2	3	0.128	6.908	1
b	RRTConfigDefault	2	4	-1	-1	0
b	RRTConfigDefault	3	0	0.178	2.303	1
b	RRTConfigDefault	3	1	0.081	1.605	1
b	RRTConfigDefault	3	2	0.073	2.006	1
b	RRTConfigDefault	3	3	0.231	5.45	1
b	RRTConfigDefault	3	4	-1	-1	0
b	RRTConfigDefault	4	0	0.154	2.304	1
b	RRTConfigDefault	4	1	0.113	1.611	1
b	RRTConfigDefault	4	2	0.07	1.985	1
b	RRTConfigDefault	4	3	0.178	5.469	1
b	RRTConfigDefault	4	4	0.093	9.896	0
b	SBLConfigDefault	0	0	0.128	2.21	1
b	SBLConfigDefault	0	1	0.186	1.599	1
b	SBLConfigDefault	0	2	0.142	2.003	1
b	SBLConfigDefault	0	3	0.061	7.899	1
b	SBLConfigDefault	0	4	0.075	5.451	1
b	SBLConfigDefault	1	0	0.112	2.226	1
b	SBLConfigDefault	1	1	0.138	1.603	1
b	SBLConfigDefault	1	2	0.141	2.002	1
b	SBLConfigDefault	1	3	0.093	6.815	1
b	SBLConfigDefault	1	4	0.114	6.81	1
b	SBLConfigDefault	2	0	0.063	2.224	1
b	SBLConfigDefault	2	1	0.168	1.597	1
b	SBLConfigDefault	2	2	0.095	2.007	1
b	SBLConfigDefault	2	3	-1	-1	0
b	SBLConfigDefault	2	4	0.174	5.067	1
b	SBLConfigDefault	3	0	0.179	2.219	1
b	SBLConfigDefault	3	1	0.147	1.595	1
b	SBLConfigDefault	3	2	0.092	2	1
b	SBLConfigDefault	3	3	0.143	7.874	0
b	SBLConfigDefault	3	4	0.088	6.275	1
b	SBLConfigDefault	4	0	0.081	2.236	1
b	SBLConfigDefault	4	1	0.16	1.599	1
b	SBLConfigDefault	4	2	0.112	2.006	1
b	SBLConfigDefault	4	3	0.181	8.366	1
b	SBLConfigDefault	4	4	0.089	2.551	1
