% set_pose_both_packingboxes_a_wp_lab_time_res_pose  both_arms  basic_scene + boxes %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
b	BKPIECEConfigDefault	0	0	0.085	2.371	1
b	BKPIECEConfigDefault	0	1	0.145	1.627	1
b	BKPIECEConfigDefault	0	2	0.081	1.241	1
b	BKPIECEConfigDefault	0	3	0.102	1.114	1
b	BKPIECEConfigDefault	0	4	0.111	3.281	1
b	BKPIECEConfigDefault	0	5	0.15	1.149	1
b	BKPIECEConfigDefault	0	6	0.201	1.222	1
b	BKPIECEConfigDefault	0	7	0.108	4.581	1
b	BKPIECEConfigDefault	1	0	0.074	2.384	1
b	BKPIECEConfigDefault	1	1	0.141	1.622	1
b	BKPIECEConfigDefault	1	2	0.066	1.241	1
b	BKPIECEConfigDefault	1	3	0.146	1.116	1
b	BKPIECEConfigDefault	1	4	0.138	3.277	1
b	BKPIECEConfigDefault	1	5	0.106	1.24	1
b	BKPIECEConfigDefault	1	6	0.128	1.214	1
b	BKPIECEConfigDefault	1	7	-1	-1	0
b	BKPIECEConfigDefault	2	0	0.145	2.388	1
b	BKPIECEConfigDefault	2	1	0.071	1.618	1
b	BKPIECEConfigDefault	2	2	0.073	1.237	1
b	BKPIECEConfigDefault	2	3	0.166	1.115	1
b	BKPIECEConfigDefault	2	4	0.137	3.282	1
b	BKPIECEConfigDefault	2	5	0.073	1.147	1
b	BKPIECEConfigDefault	2	6	-1	-1	0
b	BKPIECEConfigDefault	2	7	-1	-1	0
b	BKPIECEConfigDefault	3	0	0.113	2.371	1
b	BKPIECEConfigDefault	3	1	0.101	1.628	1
b	BKPIECEConfigDefault	3	2	0.159	1.247	1
b	BKPIECEConfigDefault	3	3	0.145	1.098	1
b	BKPIECEConfigDefault	3	4	0.15	3.281	1
b	BKPIECEConfigDefault	3	5	-1	-1	0
b	BKPIECEConfigDefault	3	6	0.107	1.251	1
b	BKPIECEConfigDefault	3	7	0.083	5.06	1
b	BKPIECEConfigDefault	4	0	0.119	2.39	1
b	BKPIECEConfigDefault	4	1	0.05	1.617	1
b	BKPIECEConfigDefault	4	2	0.188	1.232	1
b	BKPIECEConfigDefault	4	3	0.165	10.095	1
b	BKPIECEConfigDefault	4	4	-1	-1	0
b	BKPIECEConfigDefault	4	5	-1	-1	0
b	BKPIECEConfigDefault	4	6	-1	-1	0
b	BKPIECEConfigDefault	4	7	0.048	1.267	1
b	ESTConfigDefault	0	0	0.144	2.366	1
b	ESTConfigDefault	0	1	0.043	1.621	1
b	ESTConfigDefault	0	2	0.082	1.246	1
b	ESTConfigDefault	0	3	0.076	1.125	1
b	ESTConfigDefault	0	4	0.095	3.27	1
b	ESTConfigDefault	0	5	0.099	1.144	1
b	ESTConfigDefault	0	6	0.103	1.212	1
b	ESTConfigDefault	0	7	0.179	4.569	1
b	ESTConfigDefault	1	0	0.185	2.46	1
b	ESTConfigDefault	1	1	0.067	1.632	1
b	ESTConfigDefault	1	2	0.171	1.239	1
b	ESTConfigDefault	1	3	0.135	1.109	1
b	ESTConfigDefault	1	4	0.09	3.278	1
b	ESTConfigDefault	1	5	0.143	1.16	1
b	ESTConfigDefault	1	6	0.088	1.216	1
b	ESTConfigDefault	1	7	0.143	1.479	0
b	ESTConfigDefault	2	0	0.189	2.384	1
b	ESTConfigDefault	2	1	0.187	1.614	1
b	ESTConfigDefault	2	2	0.079	1.234	1
b	ESTConfigDefault	2	3	0.099	1.116	1
b	ESTConfigDefault	2	4	0.052	3.281	1
b	ESTConfigDefault	2	5	0.102	1.153	1
b	ESTConfigDefault	2	6	-1	-1	0
b	ESTConfigDefault	2	7	-1	-1	0
b	ESTConfigDefault	3	0	0.074	2.394	1
b	ESTConfigDefault	3	1	0.092	1.618	1
b	ESTConfigDefault	3	2	0.118	1.232	1
b	ESTConfigDefault	3	3	0.15	1.115	1
b	ESTConfigDefault	3	4	0.16	3.279	1
b	ESTConfigDefault	3	5	0.105	1.144	1
b	ESTConfigDefault	3	6	0.151	1.225	1
b	ESTConfigDefault	3	7	-1	-1	0
b	ESTConfigDefault	4	0	0.155	2.383	1
b	ESTConfigDefault	4	1	0.109	1.627	1
b	ESTConfigDefault	4	2	0.078	1.236	1
b	ESTConfigDefault	4	3	0.076	1.115	1
b	ESTConfigDefault	4	4	0.074	3.288	1
b	ESTConfigDefault	4	5	-1	-1	0
b	ESTConfigDefault	4	6	0.106	1.232	1
b	ESTConfigDefault	4	7	-1	-1	0
b	KPIECEConfigDefault	0	0	0.06	2.37	1
b	KPIECEConfigDefault	0	1	0.063	1.617	1
b	KPIECEConfigDefault	0	2	0.056	1.233	1
b	KPIECEConfigDefault	0	3	0.14	1.112	1
b	KPIECEConfigDefault	0	4	0.127	3.276	1
b	KPIECEConfigDefault	0	5	0.208	1.147	1
b	KPIECEConfigDefault	0	6	0.145	1.23	1
b	KPIECEConfigDefault	0	7	-1	-1	0
b	KPIECEConfigDefault	1	0	0.06	2.462	1
b	KPIECEConfigDefault	1	1	0.131	1.631	1
b	KPIECEConfigDefault	1	2	0.087	1.237	1
b	KPIECEConfigDefault	1	3	0.104	1.126	1
b	KPIECEConfigDefault	1	4	0.153	3.277	1
b	KPIECEConfigDefault	1	5	0.122	1.142	1
b	KPIECEConfigDefault	1	6	0.169	1.219	1
b	KPIECEConfigDefault	1	7	-1	-1	0
b	KPIECEConfigDefault	2	0	0.096	2.46	1
b	KPIECEConfigDefault	2	1	0.187	1.849	1
b	KPIECEConfigDefault	2	2	0.101	1.235	1
b	KPIECEConfigDefault	2	3	0.08	1.129	1
b	KPIECEConfigDefault	2	4	0.142	3.28	1
b	KPIECEConfigDefault	2	5	0.193	1.154	1
b	KPIECEConfigDefault	2	6	0.159	1.228	1
b	KPIECEConfigDefault	2	7	-1	-1	0
b	KPIECEConfigDefault	3	0	0.233	4.603	1
b	KPIECEConfigDefault	3	1	0.084	1.632	1
b	KPIECEConfigDefault	3	2	0.119	1.241	1
b	KPIECEConfigDefault	3	3	0.05	1.12	1
b	KPIECEConfigDefault	3	4	-1	-1	0
b	KPIECEConfigDefault	3	5	-1	-1	0
b	KPIECEConfigDefault	3	6	-1	-1	0
b	KPIECEConfigDefault	3	7	0.19	1.406	1
b	KPIECEConfigDefault	4	0	0.076	0.005	0
b	KPIECEConfigDefault	4	1	0.195	3.145	1
b	KPIECEConfigDefault	4	2	0.114	1.264	1
b	KPIECEConfigDefault	4	3	0.076	1.126	1
b	KPIECEConfigDefault	4	4	-1	-1	0
b	KPIECEConfigDefault	4	5	-1	-1	0
b	KPIECEConfigDefault	4	6	-1	-1	0
b	KPIECEConfigDefault	4	7	0.146	1.354	1
b	LBKPIECEConfigDefault	0	0	0.133	2.369	1
b	LBKPIECEConfigDefault	0	1	0.08	1.612	1
b	LBKPIECEConfigDefault	0	2	0.141	1.236	1
b	LBKPIECEConfigDefault	0	3	0.171	1.128	1
b	LBKPIECEConfigDefault	0	4	0.072	3.281	1
b	LBKPIECEConfigDefault	0	5	0.099	1.157	1
b	LBKPIECEConfigDefault	0	6	0.092	1.22	1
b	LBKPIECEConfigDefault	0	7	-1	-1	0
b	LBKPIECEConfigDefault	1	0	0.061	2.376	1
b	LBKPIECEConfigDefault	1	1	0.046	1.617	1
b	LBKPIECEConfigDefault	1	2	0.115	1.235	1
b	LBKPIECEConfigDefault	1	3	0.157	1.114	1
b	LBKPIECEConfigDefault	1	4	0.126	3.276	1
b	LBKPIECEConfigDefault	1	5	0.184	1.144	1
b	LBKPIECEConfigDefault	1	6	0.093	1.213	1
b	LBKPIECEConfigDefault	1	7	-1	-1	0
b	LBKPIECEConfigDefault	2	0	0.057	2.376	1
b	LBKPIECEConfigDefault	2	1	0.187	1.038	0
b	LBKPIECEConfigDefault	2	2	-1	-1	0
b	LBKPIECEConfigDefault	2	3	0.137	1.469	1
b	LBKPIECEConfigDefault	2	4	-1	-1	0
b	LBKPIECEConfigDefault	2	5	-1	-1	0
b	LBKPIECEConfigDefault	2	6	0.095	3.267	1
b	LBKPIECEConfigDefault	2	7	0.237	6.682	1
b	LBKPIECEConfigDefault	3	0	0.141	2.388	1
b	LBKPIECEConfigDefault	3	1	0.182	1.629	1
b	LBKPIECEConfigDefault	3	2	0.207	1.23	1
b	LBKPIECEConfigDefault	3	3	0.105	1.111	1
b	LBKPIECEConfigDefault	3	4	0.119	3.275	1
b	LBKPIECEConfigDefault	3	5	0.145	1.148	1
b	LBKPIECEConfigDefault	3	6	0.075	1.219	1
b	LBKPIECEConfigDefault	3	7	-1	-1	0
b	LBKPIECEConfigDefault	4	0	0.17	2.372	1
b	LBKPIECEConfigDefault	4	1	0.145	1.634	1
b	LBKPIECEConfigDefault	4	2	0.102	1.233	1
b	LBKPIECEConfigDefault	4	3	0.115	1.099	1
b	LBKPIECEConfigDefault	4	4	0.032	3.286	1
b	LBKPIECEConfigDefault	4	5	0.141	1.997	1
b	LBKPIECEConfigDefault	4	6	0.081	1.246	1
b	LBKPIECEConfigDefault	4	7	0.084	7.503	1
b	RRTConnectConfigDefault	0	0	0.115	2.371	1
b	RRTConnectConfigDefault	0	1	0.087	1.621	1
b	RRTConnectConfigDefault	0	2	0.156	1.228	1
b	RRTConnectConfigDefault	0	3	0.072	1.105	1
b	RRTConnectConfigDefault	0	4	0.033	3.275	1
b	RRTConnectConfigDefault	0	5	0.145	1.158	1
b	RRTConnectConfigDefault	0	6	0.162	1.22	1
b	RRTConnectConfigDefault	0	7	0.112	10.883	1
b	RRTConnectConfigDefault	1	0	0.102	2.385	1
b	RRTConnectConfigDefault	1	1	0.187	1.618	1
b	RRTConnectConfigDefault	1	2	0.059	1.274	1
b	RRTConnectConfigDefault	1	3	0.147	1.121	1
b	RRTConnectConfigDefault	1	4	0.069	3.279	1
b	RRTConnectConfigDefault	1	5	0.129	1.153	1
b	RRTConnectConfigDefault	1	6	0.083	5.642	1
b	RRTConnectConfigDefault	1	7	-1	-1	0
b	RRTConnectConfigDefault	2	0	0.187	2.387	1
b	RRTConnectConfigDefault	2	1	0.086	1.622	1
b	RRTConnectConfigDefault	2	2	0.104	1.238	1
b	RRTConnectConfigDefault	2	3	0.133	1.115	1
b	RRTConnectConfigDefault	2	4	0.05	3.276	1
b	RRTConnectConfigDefault	2	5	0.088	1.147	1
b	RRTConnectConfigDefault	2	6	0.202	1.229	1
b	RRTConnectConfigDefault	2	7	0.141	6.264	1
b	RRTConnectConfigDefault	3	0	0.19	6.99	1
b	RRTConnectConfigDefault	3	1	-1	-1	0
b	RRTConnectConfigDefault	3	2	-1	-1	0
b	RRTConnectConfigDefault	3	3	0.075	4.357	1
b	RRTConnectConfigDefault	3	4	-1	-1	0
b	RRTConnectConfigDefault	3	5	-1	-1	0
b	RRTConnectConfigDefault	3	6	0.29	17.384	1
b	RRTConnectConfigDefault	3	7	0.187	10.735	0
b	RRTConnectConfigDefault	4	0	0.074	2.387	1
b	RRTConnectConfigDefault	4	1	0.09	1.618	1
b	RRTConnectConfigDefault	4	2	0.242	1.237	1
b	RRTConnectConfigDefault	4	3	0.131	1.113	1
b	RRTConnectConfigDefault	4	4	0.045	3.283	1
b	RRTConnectConfigDefault	4	5	0.134	1.152	1
b	RRTConnectConfigDefault	4	6	0.082	1.217	1
b	RRTConnectConfigDefault	4	7	-1	-1	0
b	RRTStarConfigDefault	0	0	0.085	2.371	1
b	RRTStarConfigDefault	0	1	0.069	1.632	1
b	RRTStarConfigDefault	0	2	0.15	1.239	1
b	RRTStarConfigDefault	0	3	0.079	1.116	1
b	RRTStarConfigDefault	0	4	0.107	3.278	1
b	RRTStarConfigDefault	0	5	0.116	1.145	1
b	RRTStarConfigDefault	0	6	0.101	1.216	1
b	RRTStarConfigDefault	0	7	0.178	8.64	1
b	RRTStarConfigDefault	1	0	0.125	2.388	1
b	RRTStarConfigDefault	1	1	0.17	1.636	1
b	RRTStarConfigDefault	1	2	0.093	1.246	1
b	RRTStarConfigDefault	1	3	0.134	1.113	1
b	RRTStarConfigDefault	1	4	0.108	3.278	1
b	RRTStarConfigDefault	1	5	0.05	1.151	1
b	RRTStarConfigDefault	1	6	0.135	1.217	1
b	RRTStarConfigDefault	1	7	-1	-1	0
b	RRTStarConfigDefault	2	0	0.164	3.561	1
b	RRTStarConfigDefault	2	1	0.167	1.619	1
b	RRTStarConfigDefault	2	2	0.064	1.239	1
