% file_pose_nothing_a_wp_time_res  right_arm  basic_scene %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	BKPIECEConfigDefault	0	0	0.077	1.838	1
r	BKPIECEConfigDefault	0	1	0.059	1.221	1
r	BKPIECEConfigDefault	0	2	0.065	2.111	1
r	BKPIECEConfigDefault	0	3	0.083	1.971	1
r	BKPIECEConfigDefault	0	4	0.063	1.74	1
r	BKPIECEConfigDefault	1	0	0.045	1.915	1
r	BKPIECEConfigDefault	1	1	0.044	1.221	1
r	BKPIECEConfigDefault	1	2	0.059	0.945	1
r	BKPIECEConfigDefault	1	3	0.048	2.431	1
r	BKPIECEConfigDefault	1	4	0.055	1.415	1
r	BKPIECEConfigDefault	2	0	0.068	1.914	1
r	BKPIECEConfigDefault	2	1	0.085	2.347	1
r	BKPIECEConfigDefault	2	2	0.078	2.142	1
r	BKPIECEConfigDefault	2	3	0.076	1.981	1
r	BKPIECEConfigDefault	2	4	0.088	1.745	1
r	BKPIECEConfigDefault	3	0	0.06	1.911	1
r	BKPIECEConfigDefault	3	1	0.055	1.234	1
r	BKPIECEConfigDefault	3	2	0.041	2.102	1
r	BKPIECEConfigDefault	3	3	0.048	1.969	1
r	BKPIECEConfigDefault	3	4	0.074	1.739	1
r	BKPIECEConfigDefault	4	0	0.076	1.918	1
r	BKPIECEConfigDefault	4	1	0.058	1.234	1
r	BKPIECEConfigDefault	4	2	0.068	2.108	1
r	BKPIECEConfigDefault	4	3	0.066	1.981	1
r	BKPIECEConfigDefault	4	4	0.039	1.733	1
r	ESTConfigDefault	0	0	0.055	1.84	1
r	ESTConfigDefault	0	1	0.071	1.24	1
r	ESTConfigDefault	0	2	0.059	2.109	1
r	ESTConfigDefault	0	3	0.072	1.994	1
r	ESTConfigDefault	0	4	0.054	1.741	1
r	ESTConfigDefault	1	0	0.049	1.914	1
r	ESTConfigDefault	1	1	0.075	1.221	1
r	ESTConfigDefault	1	2	0.054	2.103	1
