% set_pose_wall_a_wp2_bis_lab_time_res_pose  right_arm  basic_scene + wall %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	BKPIECEConfigDefault	0	0	0.062	2.008	1
r	BKPIECEConfigDefault	0	1	0.097	1.979	1
r	BKPIECEConfigDefault	0	2	-1	-1	0
r	BKPIECEConfigDefault	0	3	-1	-1	0
r	BKPIECEConfigDefault	0	4	0.059	2.27	1
r	BKPIECEConfigDefault	0	5	0.07	3.12	1
r	BKPIECEConfigDefault	1	0	0.07	2.108	1
r	BKPIECEConfigDefault	1	1	0.039	1.971	1
r	BKPIECEConfigDefault	1	2	0.098	7.7	1
r	BKPIECEConfigDefault	1	3	-1	-1	0
r	BKPIECEConfigDefault	1	4	0.074	0.373	1
r	BKPIECEConfigDefault	1	5	0.043	1.987	1
r	BKPIECEConfigDefault	2	0	0.057	2.089	1
r	BKPIECEConfigDefault	2	1	0.078	1.972	1
r	BKPIECEConfigDefault	2	2	0.057	2.228	1
r	BKPIECEConfigDefault	2	3	0.097	4.352	1
r	BKPIECEConfigDefault	2	4	0.089	4.294	1
r	BKPIECEConfigDefault	2	5	0.111	20.012	1
r	BKPIECEConfigDefault	3	0	0.085	2.012	1
r	BKPIECEConfigDefault	3	1	0.038	1.969	1
r	BKPIECEConfigDefault	3	2	0.043	2.234	1
r	BKPIECEConfigDefault	3	3	-1	-1	0
r	BKPIECEConfigDefault	3	4	0.084	0.386	1
r	BKPIECEConfigDefault	3	5	0.116	2.802	1
r	BKPIECEConfigDefault	4	0	0.074	2.038	1
r	BKPIECEConfigDefault	4	1	0.055	1.98	1
r	BKPIECEConfigDefault	4	2	-1	-1	0
r	BKPIECEConfigDefault	4	3	-1	-1	0
r	BKPIECEConfigDefault	4	4	-1	-1	0
r	BKPIECEConfigDefault	4	5	0.069	0.429	1
r	ESTConfigDefault	0	0	0.046	2.057	1
r	ESTConfigDefault	0	1	0.045	1.96	1
r	ESTConfigDefault	0	2	0.043	2.244	1
r	ESTConfigDefault	0	3	0.081	1.961	1
r	ESTConfigDefault	0	4	0.207	2.496	1
r	ESTConfigDefault	0	5	0.091	5.699	1
r	ESTConfigDefault	1	0	0.064	2.038	1
r	ESTConfigDefault	1	1	0.065	1.974	1
r	ESTConfigDefault	1	2	0.095	2.233	1
r	ESTConfigDefault	1	3	0.083	2.211	1
r	ESTConfigDefault	1	4	0.12	5.71	1
r	ESTConfigDefault	1	5	0.04	2.118	1
r	ESTConfigDefault	2	0	0.093	2.378	1
r	ESTConfigDefault	2	1	0.039	1.991	1
r	ESTConfigDefault	2	2	0.061	1.981	1
r	ESTConfigDefault	2	3	0.387	2.066	1
r	ESTConfigDefault	2	4	0.334	4.632	1
r	ESTConfigDefault	2	5	-1	-1	0
r	ESTConfigDefault	3	0	0.047	2.023	1
r	ESTConfigDefault	3	1	0.051	1.984	1
r	ESTConfigDefault	3	2	0.059	2.242	1
r	ESTConfigDefault	3	3	0.081	1.965	1
r	ESTConfigDefault	3	4	0.085	3.71	1
r	ESTConfigDefault	3	5	0.063	2.182	1
r	ESTConfigDefault	4	0	0.064	2.03	1
r	ESTConfigDefault	4	1	0.052	1.979	1
r	ESTConfigDefault	4	2	0.062	3.445	1
r	ESTConfigDefault	4	3	-1	-1	0
r	ESTConfigDefault	4	4	0.068	0.369	1
r	ESTConfigDefault	4	5	0.055	2.186	1
r	KPIECEConfigDefault	0	0	0.075	2.005	1
r	KPIECEConfigDefault	0	1	0.065	1.974	1
r	KPIECEConfigDefault	0	2	0.074	4.517	1
r	KPIECEConfigDefault	0	3	0.063	1.972	1
r	KPIECEConfigDefault	0	4	0.093	3.364	1
r	KPIECEConfigDefault	0	5	0.028	1.876	1
r	KPIECEConfigDefault	1	0	0.054	2.095	1
r	KPIECEConfigDefault	1	1	0.076	1.978	1
r	KPIECEConfigDefault	1	2	0.048	2.223	1
r	KPIECEConfigDefault	1	3	0.087	6.826	1
r	KPIECEConfigDefault	1	4	-1	-1	0
r	KPIECEConfigDefault	1	5	0.084	7.332	1
r	KPIECEConfigDefault	2	0	0.05	1.48	0
