% set_pose_both_nothing_a_sim_time_res_pose  both_arms  basic_scene %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
b	BKPIECEConfigDefault	0	0	0.13	2.22	1
b	BKPIECEConfigDefault	0	1	0.125	1.622	1
b	BKPIECEConfigDefault	0	2	0.152	1.986	1
b	BKPIECEConfigDefault	0	3	0.101	5.408	1
b	BKPIECEConfigDefault	0	4	-1	-1	0
b	BKPIECEConfigDefault	1	0	0.082	2.218	1
b	BKPIECEConfigDefault	1	1	0.046	1.614	1
b	BKPIECEConfigDefault	1	2	0.07	1.98	1
b	BKPIECEConfigDefault	1	3	0.305	34.069	1
b	BKPIECEConfigDefault	1	4	0.138	4.985	1
b	BKPIECEConfigDefault	2	0	0.154	2.222	1
b	BKPIECEConfigDefault	2	1	0.146	1.615	1
b	BKPIECEConfigDefault	2	2	0.169	1.98	1
b	BKPIECEConfigDefault	2	3	0.154	6.411	1
b	BKPIECEConfigDefault	2	4	0.212	5.336	1
b	BKPIECEConfigDefault	3	0	0.19	2.218	1
b	BKPIECEConfigDefault	3	1	0.217	1.617	1
b	BKPIECEConfigDefault	3	2	0.156	1.996	1
b	BKPIECEConfigDefault	3	3	0.213	5.238	1
b	BKPIECEConfigDefault	3	4	0.267	8.792	1
b	BKPIECEConfigDefault	4	0	0.131	2.213	1
b	BKPIECEConfigDefault	4	1	0.122	1.606	1
b	BKPIECEConfigDefault	4	2	0.135	1.989	1
b	BKPIECEConfigDefault	4	3	0.247	11.2	1
b	BKPIECEConfigDefault	4	4	0.182	13.516	1
b	ESTConfigDefault	0	0	0.093	2.218	1
b	ESTConfigDefault	0	1	0.114	1.607	1
b	ESTConfigDefault	0	2	0.224	1.991	1
b	ESTConfigDefault	0	3	0.119	4.177	1
b	ESTConfigDefault	0	4	-1	-1	0
b	ESTConfigDefault	1	0	0.203	2.218	1
b	ESTConfigDefault	1	1	0.123	1.613	1
b	ESTConfigDefault	1	2	0.153	1.979	1
b	ESTConfigDefault	1	3	0.228	10.067	1
b	ESTConfigDefault	1	4	0.106	6.107	1
b	ESTConfigDefault	2	0	0.133	2.226	1
b	ESTConfigDefault	2	1	0.08	1.622	1
b	ESTConfigDefault	2	2	0.074	2.363	1
b	ESTConfigDefault	2	3	0.14	6.565	1
b	ESTConfigDefault	2	4	0.109	10.427	1
b	ESTConfigDefault	3	0	0.16	2.231	1
b	ESTConfigDefault	3	1	0.191	1.627	1
b	ESTConfigDefault	3	2	0.157	1.984	1
b	ESTConfigDefault	3	3	0.231	6.227	1
b	ESTConfigDefault	3	4	0.163	7.693	1
b	ESTConfigDefault	4	0	0.274	2.251	1
b	ESTConfigDefault	4	1	0.171	1.639	1
b	ESTConfigDefault	4	2	0.113	1.977	1
b	ESTConfigDefault	4	3	-1	-1	0
b	ESTConfigDefault	4	4	0.146	2.808	1
b	KPIECEConfigDefault	0	0	0.294	3.454	1
b	KPIECEConfigDefault	0	1	0.153	1.61	1
b	KPIECEConfigDefault	0	2	0.278	5.76	1
b	KPIECEConfigDefault	0	3	0.114	6.834	1
b	KPIECEConfigDefault	0	4	0.203	13.705	1
