% set_pose_nothing_sim_time_res_pose right_arm  basic_scene %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	BKPIECEConfigDefault	0	0	0.096	1.946	1
r	BKPIECEConfigDefault	0	1	0.15	8.489	1
r	BKPIECEConfigDefault	0	2	0.054	1.803	1
r	BKPIECEConfigDefault	1	0	0.096	1.934	1
r	BKPIECEConfigDefault	1	1	-1	-1	0
r	BKPIECEConfigDefault	1	2	0.037	1.508	1
r	BKPIECEConfigDefault	2	0	0.085	1.931	1
r	BKPIECEConfigDefault	2	1	0.081	4.241	1
r	BKPIECEConfigDefault	2	2	0.1	11.936	1
r	BKPIECEConfigDefault	3	0	0.048	1.945	1
r	BKPIECEConfigDefault	3	1	0.062	3.076	1
r	BKPIECEConfigDefault	3	2	0.083	5.754	1
r	BKPIECEConfigDefault	4	0	0.061	1.958	1
r	BKPIECEConfigDefault	4	1	0.067	4.586	1
r	BKPIECEConfigDefault	4	2	0.061	5.199	1
r	ESTConfigDefault	0	0	0.085	1.933	1
r	ESTConfigDefault	0	1	0.071	4.925	1
r	ESTConfigDefault	0	2	0.101	2.385	1
r	ESTConfigDefault	1	0	0.084	1.937	1
r	ESTConfigDefault	1	1	0.045	3.457	1
r	ESTConfigDefault	1	2	0.091	6.826	1
r	ESTConfigDefault	2	0	0.049	1.926	1
r	ESTConfigDefault	2	1	0.103	3.81	1
r	ESTConfigDefault	2	2	0.085	2.071	1
r	ESTConfigDefault	3	0	0.04	1.94	1
r	ESTConfigDefault	3	1	0.069	3.583	1
r	ESTConfigDefault	3	2	0.067	2.51	1
r	ESTConfigDefault	4	0	0.044	1.946	1
r	ESTConfigDefault	4	1	0.104	4.569	1
r	ESTConfigDefault	4	2	-1	-1	0
r	KPIECEConfigDefault	0	0	0.087	1.939	1
r	KPIECEConfigDefault	0	1	0.096	3.476	1
r	KPIECEConfigDefault	0	2	0.059	8.091	1
r	KPIECEConfigDefault	1	0	0.049	1.954	1
r	KPIECEConfigDefault	1	1	0.08	5.379	1
r	KPIECEConfigDefault	1	2	0.07	1.859	1
r	KPIECEConfigDefault	2	0	0.04	1.941	1
r	KPIECEConfigDefault	2	1	0.061	4.11	1
r	KPIECEConfigDefault	2	2	-1	-1	0
r	KPIECEConfigDefault	3	0	0.057	4.762	1
r	KPIECEConfigDefault	3	1	0.114	9.105	1
r	KPIECEConfigDefault	3	2	0.067	2.347	1
r	KPIECEConfigDefault	4	0	0.077	1.943	1
r	KPIECEConfigDefault	4	1	0.094	3.101	1
r	KPIECEConfigDefault	4	2	0.085	8.583	1
r	LBKPIECEConfigDefault	0	0	0.046	1.936	1
r	LBKPIECEConfigDefault	0	1	-1	-1	0
r	LBKPIECEConfigDefault	0	2	0.077	1.516	1
r	LBKPIECEConfigDefault	1	0	0.085	1.939	1
r	LBKPIECEConfigDefault	1	1	-1	-1	0
r	LBKPIECEConfigDefault	1	2	0.064	1.519	1
r	LBKPIECEConfigDefault	2	0	0.034	1.939	1
r	LBKPIECEConfigDefault	2	1	0.053	4.885	1
r	LBKPIECEConfigDefault	2	2	0.064	2.362	1
r	LBKPIECEConfigDefault	3	0	0.063	1.944	1
r	LBKPIECEConfigDefault	3	1	0.095	11.356	1
r	LBKPIECEConfigDefault	3	2	-1	-1	0
r	LBKPIECEConfigDefault	4	0	0.037	1.938	1
r	LBKPIECEConfigDefault	4	1	0.077	3.737	1
r	LBKPIECEConfigDefault	4	2	0.028	2.034	1
r	RRTConnectConfigDefault	0	0	0.055	1.936	1
r	RRTConnectConfigDefault	0	1	0.111	6.801	1
r	RRTConnectConfigDefault	0	2	0.072	1.822	1
r	RRTConnectConfigDefault	1	0	0.065	1.94	1
r	RRTConnectConfigDefault	1	1	0.087	7.839	1
r	RRTConnectConfigDefault	1	2	0.039	1.811	1
r	RRTConnectConfigDefault	2	0	0.058	1.943	1
r	RRTConnectConfigDefault	2	1	0.102	9.689	1
r	RRTConnectConfigDefault	2	2	0.064	1.859	1
r	RRTConnectConfigDefault	3	0	0.078	1.934	1
r	RRTConnectConfigDefault	3	1	0.03	3.328	1
r	RRTConnectConfigDefault	3	2	0.112	7.564	1
r	RRTConnectConfigDefault	4	0	0.069	1.944	1
r	RRTConnectConfigDefault	4	1	0.114	4.115	1
r	RRTConnectConfigDefault	4	2	0.063	2.564	1
r	RRTStarConfigDefault	0	0	0.093	1.942	1
r	RRTStarConfigDefault	0	1	0.069	4.254	1
r	RRTStarConfigDefault	0	2	0.084	6.987	1
r	RRTStarConfigDefault	1	0	0.059	1.948	1
r	RRTStarConfigDefault	1	1	0.078	5.416	1
r	RRTStarConfigDefault	1	2	0.084	12.105	1
r	RRTStarConfigDefault	2	0	0.035	1.935	1
r	RRTStarConfigDefault	2	1	0.063	3.718	1
r	RRTStarConfigDefault	2	2	0.067	2.079	1
r	RRTStarConfigDefault	3	0	0.065	4.559	1
r	RRTStarConfigDefault	3	1	0.067	3.377	1
r	RRTStarConfigDefault	3	2	0.072	2.109	1
r	RRTStarConfigDefault	4	0	0.125	1.947	1
r	RRTStarConfigDefault	4	1	0.063	7.226	1
r	RRTStarConfigDefault	4	2	0.072	2.069	1
r	RRTConfigDefault	0	0	0.046	1.937	1
r	RRTConfigDefault	0	1	0.041	5.378	1
r	RRTConfigDefault	0	2	0.077	2.268	1
r	RRTConfigDefault	1	0	0.057	1.953	1
r	RRTConfigDefault	1	1	-1	-1	0
r	RRTConfigDefault	1	2	0.091	1.507	1
r	RRTConfigDefault	2	0	0.035	1.942	1
r	RRTConfigDefault	2	1	0.117	3.683	1
r	RRTConfigDefault	2	2	0.06	2.169	1
r	RRTConfigDefault	3	0	0.039	1.941	1
r	RRTConfigDefault	3	1	0.038	4.252	1
r	RRTConfigDefault	3	2	-1	-1	0
r	RRTConfigDefault	4	0	0.048	1.929	1
r	RRTConfigDefault	4	1	0.051	4.757	1
r	RRTConfigDefault	4	2	0.078	8.022	1
r	SBLConfigDefault	0	0	0.045	1.934	1
r	SBLConfigDefault	0	1	0.059	3.85	1
r	SBLConfigDefault	0	2	0.042	2.114	1
r	SBLConfigDefault	1	0	0.084	1.933	1
r	SBLConfigDefault	1	1	0.165	7.713	1
r	SBLConfigDefault	1	2	0.063	1.823	1
r	SBLConfigDefault	2	0	0.071	1.952	1
r	SBLConfigDefault	2	1	0.07	4.136	1
r	SBLConfigDefault	2	2	-1	-1	0
r	SBLConfigDefault	3	0	0.073	1.95	1
r	SBLConfigDefault	3	1	0.038	3.868	1
r	SBLConfigDefault	3	2	0.072	2.115	1
r	SBLConfigDefault	4	0	0.033	1.937	1
r	SBLConfigDefault	4	1	-1	-1	0
r	SBLConfigDefault	4	2	0.102	1.525	1
