% set_pose_packingboxes_b_wp_sim_time_res_pose  right_arm  basic_scene + packingboxes %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	BKPIECEConfigDefault	0	0	0.11	11.632	1
r	BKPIECEConfigDefault	0	1	0.044	0.96	1
r	BKPIECEConfigDefault	0	2	-1	-1	0
r	BKPIECEConfigDefault	0	3	-1	-1	0
r	BKPIECEConfigDefault	0	4	-1	-1	0
r	BKPIECEConfigDefault	0	5	0.065	1.007	1
r	BKPIECEConfigDefault	0	6	0.064	1.188	1
r	BKPIECEConfigDefault	0	7	0.06	1.115	1
r	BKPIECEConfigDefault	0	8	0.059	2.124	1
r	BKPIECEConfigDefault	0	9	0.052	1.353	1
r	BKPIECEConfigDefault	0	10	0.026	1.407	1
r	BKPIECEConfigDefault	0	11	0.076	1.974	1
r	BKPIECEConfigDefault	0	12	0.092	1.473	1
r	BKPIECEConfigDefault	0	13	0.074	1.044	1
r	BKPIECEConfigDefault	0	14	-1	-1	0
r	BKPIECEConfigDefault	0	15	0.08	7.842	1
r	BKPIECEConfigDefault	0	16	0.057	1.352	1
r	BKPIECEConfigDefault	1	0	0.045	4.525	1
r	BKPIECEConfigDefault	1	1	0.063	0.967	1
r	BKPIECEConfigDefault	1	2	-1	-1	0
r	BKPIECEConfigDefault	1	3	-1	-1	0
r	BKPIECEConfigDefault	1	4	0.151	7.955	1
r	BKPIECEConfigDefault	1	5	0.087	7.656	1
r	BKPIECEConfigDefault	1	6	0.087	1.208	1
r	BKPIECEConfigDefault	1	7	0.072	1.139	1
r	BKPIECEConfigDefault	1	8	0.036	2.102	1
r	BKPIECEConfigDefault	1	9	0.043	1.349	1
r	BKPIECEConfigDefault	1	10	0.066	1.406	1
r	BKPIECEConfigDefault	1	11	0.114	2.006	1
r	BKPIECEConfigDefault	1	12	0.106	1.132	1
r	BKPIECEConfigDefault	1	13	0.047	1.011	1
r	BKPIECEConfigDefault	1	14	-1	-1	0
r	BKPIECEConfigDefault	1	15	0.094	11.655	1
r	BKPIECEConfigDefault	1	16	0.038	1.511	1
r	BKPIECEConfigDefault	2	0	0.086	4.999	1
r	BKPIECEConfigDefault	2	1	0.06	1.143	1
r	BKPIECEConfigDefault	2	2	0.111	2.003	1
r	BKPIECEConfigDefault	2	3	-1	-1	0
r	BKPIECEConfigDefault	2	4	0.07	0.893	1
r	BKPIECEConfigDefault	2	5	0.046	1.93	1
r	BKPIECEConfigDefault	2	6	0.075	0.859	1
r	BKPIECEConfigDefault	2	7	0.054	1.157	1
r	BKPIECEConfigDefault	2	8	-1	-1	0
r	BKPIECEConfigDefault	2	9	0.053	13.412	1
r	BKPIECEConfigDefault	2	10	0.065	1.378	1
r	BKPIECEConfigDefault	2	11	0.077	2.466	1
r	BKPIECEConfigDefault	2	12	0.038	1.122	1
r	BKPIECEConfigDefault	2	13	0.049	0.979	1
r	BKPIECEConfigDefault	2	14	0.072	5.546	1
r	BKPIECEConfigDefault	2	15	0.064	1.196	1
r	BKPIECEConfigDefault	2	16	0.058	1.31	1
r	BKPIECEConfigDefault	3	0	0.099	8.142	1
r	BKPIECEConfigDefault	3	1	0.074	0.992	1
r	BKPIECEConfigDefault	3	2	-1	-1	0
r	BKPIECEConfigDefault	3	3	0.123	13.012	1
r	BKPIECEConfigDefault	3	4	-1	-1	0
r	BKPIECEConfigDefault	3	5	-1	-1	0
r	BKPIECEConfigDefault	3	6	-1	-1	0
r	BKPIECEConfigDefault	3	7	-1	-1	0
r	BKPIECEConfigDefault	3	8	-1	-1	0
r	BKPIECEConfigDefault	3	9	0.054	5.189	1
r	BKPIECEConfigDefault	3	10	0.044	1.268	1
r	BKPIECEConfigDefault	3	11	0.055	2.482	1
r	BKPIECEConfigDefault	3	12	0.103	1.381	1
r	BKPIECEConfigDefault	3	13	0.059	1.152	1
r	BKPIECEConfigDefault	3	14	0.081	7.94	1
r	BKPIECEConfigDefault	3	15	0.048	1.251	1
r	BKPIECEConfigDefault	3	16	0.044	1.332	1
r	BKPIECEConfigDefault	4	0	0.094	4.034	1
r	BKPIECEConfigDefault	4	1	0.068	1.003	1
r	BKPIECEConfigDefault	4	2	0.053	1.926	1
r	BKPIECEConfigDefault	4	3	0.05	4.102	1
r	BKPIECEConfigDefault	4	4	0.09	3.925	1
r	BKPIECEConfigDefault	4	5	0.056	1.811	1
r	BKPIECEConfigDefault	4	6	0.056	1.126	1
r	BKPIECEConfigDefault	4	7	0.026	1.151	1
r	BKPIECEConfigDefault	4	8	0.055	2.243	1
r	BKPIECEConfigDefault	4	9	0.08	1.142	1
r	BKPIECEConfigDefault	4	10	0.035	1.23	1
r	BKPIECEConfigDefault	4	11	0.045	2.37	1
r	BKPIECEConfigDefault	4	12	0.093	1.227	1
r	BKPIECEConfigDefault	4	13	0.09	1.001	1
r	BKPIECEConfigDefault	4	14	0.134	6.496	1
r	BKPIECEConfigDefault	4	15	0.041	1.333	1
r	BKPIECEConfigDefault	4	16	0.049	1.471	1
r	ESTConfigDefault	0	0	0.101	5.349	1
r	ESTConfigDefault	0	1	0.1	1.666	1
r	ESTConfigDefault	0	2	0.032	1.748	1
r	ESTConfigDefault	0	3	-1	-1	0
r	ESTConfigDefault	0	4	0.052	0.813	1
r	ESTConfigDefault	0	5	0.073	2.026	1
r	ESTConfigDefault	0	6	0.11	0.903	1
r	ESTConfigDefault	0	7	0.07	1.197	1
r	ESTConfigDefault	0	8	0.114	7.289	1
r	ESTConfigDefault	0	9	0.07	1.299	1
r	ESTConfigDefault	0	10	0.079	1.37	1
r	ESTConfigDefault	0	11	0.052	2.193	1
r	ESTConfigDefault	0	12	0.077	1.14	1
r	ESTConfigDefault	0	13	0.08	1.012	1
r	ESTConfigDefault	0	14	0.107	8.465	1
r	ESTConfigDefault	0	15	0.079	1.276	1
r	ESTConfigDefault	0	16	0.043	1.444	1
r	ESTConfigDefault	1	0	-1	-1	0
r	ESTConfigDefault	1	1	0.125	7.093	1
r	ESTConfigDefault	1	2	0.084	4.453	1
r	ESTConfigDefault	1	3	-1	-1	0
r	ESTConfigDefault	1	4	0.072	0.806	1
r	ESTConfigDefault	1	5	0.12	3.666	1
r	ESTConfigDefault	1	6	0.08	4.789	1
r	ESTConfigDefault	1	7	0.051	1.198	1
r	ESTConfigDefault	1	8	0.092	3.593	1
r	ESTConfigDefault	1	9	0.073	1.372	1
r	ESTConfigDefault	1	10	0.06	1.437	1
r	ESTConfigDefault	1	11	0.069	1.813	1
r	ESTConfigDefault	1	12	0.045	1.129	1
r	ESTConfigDefault	1	13	0.077	1.004	1
r	ESTConfigDefault	1	14	0.083	3.173	1
r	ESTConfigDefault	1	15	0.085	1.482	1
r	ESTConfigDefault	1	16	0.082	1.613	1
r	ESTConfigDefault	2	0	0.072	3.887	1
r	ESTConfigDefault	2	1	0.062	1.246	1
r	ESTConfigDefault	2	2	0.066	1.785	1
r	ESTConfigDefault	2	3	0.092	9.66	1
r	ESTConfigDefault	2	4	-1	-1	0
r	ESTConfigDefault	2	5	-1	-1	0
r	ESTConfigDefault	2	6	0.085	8.43	1
r	ESTConfigDefault	2	7	0.057	1.185	1
r	ESTConfigDefault	2	8	0.082	3.488	1
r	ESTConfigDefault	2	9	0.041	1.38	1
r	ESTConfigDefault	2	10	0.051	1.449	1
r	ESTConfigDefault	2	11	0.032	1.804	1
r	ESTConfigDefault	2	12	0.074	1.132	1
r	ESTConfigDefault	2	13	0.078	1.011	1
r	ESTConfigDefault	2	14	0.071	4.685	1
r	ESTConfigDefault	2	15	0.095	1.288	1
r	ESTConfigDefault	2	16	0.062	1.461	1
r	ESTConfigDefault	3	0	0.137	7.755	1
r	ESTConfigDefault	3	1	0.08	1.025	1
r	ESTConfigDefault	3	2	0.059	1.986	1
r	ESTConfigDefault	3	3	0.042	2.915	1
r	ESTConfigDefault	3	4	-1	-1	0
r	ESTConfigDefault	3	5	-1	-1	0
r	ESTConfigDefault	3	6	-1	-1	0
r	ESTConfigDefault	3	7	-1	-1	0
r	ESTConfigDefault	3	8	-1	-1	0
r	ESTConfigDefault	3	9	-1	-1	0
r	ESTConfigDefault	3	10	-1	-1	0
r	ESTConfigDefault	3	11	-1	-1	0
r	ESTConfigDefault	3	12	-1	-1	0
r	ESTConfigDefault	3	13	-1	-1	0
r	ESTConfigDefault	3	14	0.057	3.609	1
r	ESTConfigDefault	3	15	0.104	5.47	1
r	ESTConfigDefault	3	16	0.1	1.461	1
r	ESTConfigDefault	4	0	-1	-1	0
r	ESTConfigDefault	4	1	0.106	7.606	1
r	ESTConfigDefault	4	2	0.068	1.827	1
r	ESTConfigDefault	4	3	-1	-1	0
r	ESTConfigDefault	4	4	0.049	0.89	1
r	ESTConfigDefault	4	5	0.041	1.782	1
r	ESTConfigDefault	4	6	0.062	1.191	1
r	ESTConfigDefault	4	7	0.083	1.141	1
r	ESTConfigDefault	4	8	0.11	7.433	1
r	ESTConfigDefault	4	9	0.081	1.296	1
r	ESTConfigDefault	4	10	0.102	1.38	1
r	ESTConfigDefault	4	11	0.099	2.463	1
r	ESTConfigDefault	4	12	0.048	1.136	1
r	ESTConfigDefault	4	13	0.092	0.984	1
r	ESTConfigDefault	4	14	0.062	5.411	1
r	ESTConfigDefault	4	15	0.066	1.326	1
r	ESTConfigDefault	4	16	0.111	1.424	1
r	KPIECEConfigDefault	0	0	0.08	8.396	1
r	KPIECEConfigDefault	0	1	0.117	0.971	1
r	KPIECEConfigDefault	0	2	-1	-1	0
r	KPIECEConfigDefault	0	3	-1	-1	0
r	KPIECEConfigDefault	0	4	0.096	6.25	1
r	KPIECEConfigDefault	0	5	-1	-1	0
r	KPIECEConfigDefault	0	6	0.066	5.952	0
r	KPIECEConfigDefault	0	7	0.073	1.163	1
r	KPIECEConfigDefault	0	8	0.087	2.086	1
r	KPIECEConfigDefault	0	9	0.058	1.318	1
r	KPIECEConfigDefault	0	10	0.103	1.392	1
r	KPIECEConfigDefault	0	11	0.091	2.2	1
r	KPIECEConfigDefault	0	12	0.044	1.144	1
r	KPIECEConfigDefault	0	13	0.083	1.022	1
r	KPIECEConfigDefault	0	14	0.074	10.867	1
r	KPIECEConfigDefault	0	15	0.06	1.429	1
r	KPIECEConfigDefault	0	16	0.043	1.577	1
r	KPIECEConfigDefault	1	0	0.098	4.317	1
r	KPIECEConfigDefault	1	1	0.124	1.308	1
r	KPIECEConfigDefault	1	2	0.061	1.793	1
r	KPIECEConfigDefault	1	3	-1	-1	0
r	KPIECEConfigDefault	1	4	0.082	0.782	1
r	KPIECEConfigDefault	1	5	0.076	4.635	1
r	KPIECEConfigDefault	1	6	0.057	1.168	1
r	KPIECEConfigDefault	1	7	0.059	1.119	1
r	KPIECEConfigDefault	1	8	0.042	2.034	1
r	KPIECEConfigDefault	1	9	0.073	1.374	1
r	KPIECEConfigDefault	1	10	0.069	1.434	1
r	KPIECEConfigDefault	1	11	0.05	1.844	1
r	KPIECEConfigDefault	1	12	0.078	1.153	1
r	KPIECEConfigDefault	1	13	0.065	1.002	1
r	KPIECEConfigDefault	1	14	-1	-1	0
r	KPIECEConfigDefault	1	15	-1	-1	0
r	KPIECEConfigDefault	1	16	0.144	10.19	1
r	KPIECEConfigDefault	2	0	-1	-1	0
r	KPIECEConfigDefault	2	1	0.061	3.919	1
r	KPIECEConfigDefault	2	2	0.04	1.747	1
r	KPIECEConfigDefault	2	3	-1	-1	0
r	KPIECEConfigDefault	2	4	0.051	0.873	1
r	KPIECEConfigDefault	2	5	0.083	1.771	1
r	KPIECEConfigDefault	2	6	0.07	1.212	1
r	KPIECEConfigDefault	2	7	0.095	1.18	1
r	KPIECEConfigDefault	2	8	0.073	6.829	1
r	KPIECEConfigDefault	2	9	0.06	1.375	1
r	KPIECEConfigDefault	2	10	0.034	1.454	1
r	KPIECEConfigDefault	2	11	0.054	2.064	1
r	KPIECEConfigDefault	2	12	0.062	1.181	1
r	KPIECEConfigDefault	2	13	0.095	1.057	1
r	KPIECEConfigDefault	2	14	-1	-1	0
r	KPIECEConfigDefault	2	15	-1	-1	0
r	KPIECEConfigDefault	2	16	0.089	8.933	1
r	KPIECEConfigDefault	3	0	0.055	4.474	1
r	KPIECEConfigDefault	3	1	0.086	0.966	1
r	KPIECEConfigDefault	3	2	-1	-1	0
r	KPIECEConfigDefault	3	3	0.103	5.95	1
r	KPIECEConfigDefault	3	4	0.11	4.282	1
r	KPIECEConfigDefault	3	5	0.086	1.875	1
r	KPIECEConfigDefault	3	6	0.095	5.698	1
r	KPIECEConfigDefault	3	7	0.048	1.168	1
r	KPIECEConfigDefault	3	8	0.091	2.065	1
r	KPIECEConfigDefault	3	9	0.05	1.357	1
r	KPIECEConfigDefault	3	10	0.058	1.431	1
r	KPIECEConfigDefault	3	11	0.085	1.926	1
r	KPIECEConfigDefault	3	12	0.062	1.123	1
r	KPIECEConfigDefault	3	13	0.074	1.003	1
r	KPIECEConfigDefault	3	14	0.098	5.678	1
r	KPIECEConfigDefault	3	15	0.073	1.332	1
r	KPIECEConfigDefault	3	16	0.088	1.354	1
r	KPIECEConfigDefault	4	0	0.054	4.252	1
r	KPIECEConfigDefault	4	1	0.057	1.34	1
r	KPIECEConfigDefault	4	2	0.105	3.261	1
r	KPIECEConfigDefault	4	3	-1	-1	0
r	KPIECEConfigDefault	4	4	0.051	0.844	1
r	KPIECEConfigDefault	4	5	0.072	3.522	1
r	KPIECEConfigDefault	4	6	0.071	1.134	1
r	KPIECEConfigDefault	4	7	0.073	1.153	1
r	KPIECEConfigDefault	4	8	0.093	2.362	1
r	KPIECEConfigDefault	4	9	0.082	1.227	1
r	KPIECEConfigDefault	4	10	0.091	1.316	1
r	KPIECEConfigDefault	4	11	0.07	2.588	1
r	KPIECEConfigDefault	4	12	0.036	1.445	1
r	KPIECEConfigDefault	4	13	0.067	1.199	1
r	KPIECEConfigDefault	4	14	-1	-1	0
r	KPIECEConfigDefault	4	15	-1	-1	0
r	KPIECEConfigDefault	4	16	0.098	7.849	1
r	LBKPIECEConfigDefault	0	0	0.09	7.982	1
r	LBKPIECEConfigDefault	0	1	0.065	0.994	1
r	LBKPIECEConfigDefault	0	2	-1	-1	0
r	LBKPIECEConfigDefault	0	3	-1	-1	0
r	LBKPIECEConfigDefault	0	4	0.1	8.877	1
r	LBKPIECEConfigDefault	0	5	0.094	5.425	1
r	LBKPIECEConfigDefault	0	6	0.098	1.191	1
r	LBKPIECEConfigDefault	0	7	0.043	1.123	1
r	LBKPIECEConfigDefault	0	8	0.081	2.115	1
r	LBKPIECEConfigDefault	0	9	0.074	1.356	1
r	LBKPIECEConfigDefault	0	10	0.041	1.409	1
r	LBKPIECEConfigDefault	0	11	0.064	1.989	1
r	LBKPIECEConfigDefault	0	12	0.023	1.136	1
r	LBKPIECEConfigDefault	0	13	0.056	1.014	1
r	LBKPIECEConfigDefault	0	14	0.049	3.212	1
r	LBKPIECEConfigDefault	0	15	0.045	1.183	1
r	LBKPIECEConfigDefault	0	16	0.051	1.302	1
r	LBKPIECEConfigDefault	1	0	0.038	4	1
r	LBKPIECEConfigDefault	1	1	0.06	0.974	1
r	LBKPIECEConfigDefault	1	2	0.052	1.927	1
r	LBKPIECEConfigDefault	1	3	0.071	3.922	1
r	LBKPIECEConfigDefault	1	4	-1	-1	0
r	LBKPIECEConfigDefault	1	5	-1	-1	0
r	LBKPIECEConfigDefault	1	6	-1	-1	0
r	LBKPIECEConfigDefault	1	7	0.145	29.009	1
